url_len,who_is,https,js_len,www_count,embed_url_count,count@,shortened_url,http_count,space_count,?_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_ali_d,if_jd_d,if_usa,if_india,if_africa,if_korea
30,0,1,803.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
30,0,0,620.1,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
23,0,0,549.9,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
26,0,0,780.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
35,0,0,778.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
23,0,0,531.0,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
57,0,0,730.8,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0
55,0,0,355.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
29,0,1,459.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
32,0,0,454.5,1,-1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
33,0,0,773.1,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0
24,0,0,670.5,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
48,0,0,845.1,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0
44,0,0,441.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
29,0,0,712.8,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
30,0,0,696.6,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
49,0,0,477.0,0,-1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
30,0,0,700.2,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
23,0,0,689.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
42,0,0,498.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
27,0,0,527.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
48,0,1,664.2,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0
38,0,0,384.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
51,0,0,503.1,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
22,0,0,835.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
27,0,0,792.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
26,0,0,398.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
29,0,0,689.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
40,0,0,662.4,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
25,0,1,635.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
25,1,0,830.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
46,0,0,463.5,1,-1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0
24,0,0,772.2,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
24,0,1,670.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
49,0,0,710.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
27,0,0,389.7,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
17,0,0,379.8,1,-1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
28,0,0,567.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
47,0,0,328.5,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
25,0,0,530.1,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
30,0,0,406.8,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
44,0,0,341.1,0,-1,0,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0
41,0,1,621.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
36,0,0,697.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
66,0,0,837.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
43,0,0,566.1,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0
63,0,0,653.4,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
28,0,0,768.6,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
42,0,0,629.1,1,-1,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0
43,0,0,459.0,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
31,0,0,360.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
25,0,0,492.3,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
